Serial Number,Error Type,Ungrammatical_Statement,Standard_English
359,Preposition Usage,The meeting will be held on the conference room.,The meeting will be held in the conference room.
360,Preposition Usage,I found the wallet under the sofa.,I found the wallet beneath the sofa.
361,Preposition Usage,She is reading a book about the history.,She is reading a book on the history.
362,Preposition Usage,The movie starts in 7 PM.,The movie starts at 7 PM.
363,Preposition Usage,The vase is placed on the table.,The vase is placed upon the table.
364,Preposition Usage,He lives in a small village near the mountains.,He lives in a small village close to the mountains.
365,Preposition Usage,The concert was cancelled due the rain.,The concert was cancelled due to the rain.
366,Preposition Usage,The cat jumped off the table.,The cat jumped from the table.
367,Preposition Usage,He is working on a new project.,He is working upon a new project.
368,Preposition Usage,They were arguing about the issue.,They were arguing over the issue.
369,Preposition Usage,The bus stopped at the corner.,The bus stopped on the corner.
370,Preposition Usage,The flowers are growing by the river.,The flowers are growing alongside the river.
371,Preposition Usage,She was sitting on a bench in the park.,She was sitting on a bench at the park.
372,Preposition Usage,The building is surrounded with trees.,The building is surrounded by trees.
373,Preposition Usage,The train goes through the tunnel.,The train goes across the tunnel.
374,Preposition Usage,He is reading a book on the library.,He is reading a book in the library.
375,Preposition Usage,I have to pay my bills until Friday.,I have to pay my bills by Friday.
376,Preposition Usage,The cake was shared between the children.,The cake was shared among the children.
377,Preposition Usage,She was carrying a bag on her shoulder.,She was carrying a bag over her shoulder.
378,Preposition Usage,The car is parked behind the building.,The car is parked in back of the building.
379,Preposition Usage,The shop is located at the end of the street.,The shop is located on the end of the street.
380,Preposition Usage,The kids are playing outside the house.,The kids are playing outside of the house.
381,Preposition Usage,She was standing beside the window.,She was standing next to the window.
382,Preposition Usage,The painting is hanging on the wall.,The painting is hanging upon the wall.
383,Preposition Usage,The book was lying over the table.,The book was lying on the table.
384,Preposition Usage,The concert will be held in the park.,The concert will be held at the park.
385,Preposition Usage,They were walking along the beach.,They were walking beside the beach.
386,Preposition Usage,The building is located at the city center.,The building is located in the city center.
387,Preposition Usage,The bird was sitting on the tree.,The bird was sitting in the tree.
388,Preposition Usage,The party will start in 8 PM.,The party will start at 8 PM.
389,Preposition Usage,She was sitting on the chair.,She was sitting in the chair.
390,Preposition Usage,The meeting is scheduled on 10 AM.,The meeting is scheduled at 10 AM.
391,Preposition Usage,He was leaning on the wall.,He was leaning against the wall.
392,Preposition Usage,They were talking about their plans.,They were talking of their plans.
393,Preposition Usage,The plane was flying above the clouds.,The plane was flying over the clouds.
394,Preposition Usage,The car is parked in front of the house.,The car is parked in front the house.
395,Preposition Usage,He is waiting for her on the restaurant.,He is waiting for her at the restaurant.
396,Sentence Structure Errors,I be going to the store to buy groceries.,I am going to the store to buy groceries.
397,Sentence Structure Errors,He no likes pineapple on his pizza.,He doesn't like pineapple on his pizza.
398,Sentence Structure Errors,She very tired after the long day at work.,She is very tired after the long day at work.
399,Sentence Structure Errors,The dog chased it's tail for hours.,The dog chased its tail for hours.
400,Sentence Structure Errors,He play guitar at the concert last night.,He played guitar at the concert last night.
401,Sentence Structure Errors,John and I dog went for a walk.,John's and my dog went for a walk.
402,Sentence Structure Errors,The cake needs to bake in oven for 30 minutes.,The cake needs to bake in the oven for 30 minutes.
403,Sentence Structure Errors,She sung a beautiful song at the talent show.,She sang a beautiful song at the talent show.
404,Sentence Structure Errors,He won't able came to the party tonight.,He won't be able to come to the party tonight.
405,Sentence Structure Errors,The car needs repaired before we can drive it.,The car needs to be repaired before we can drive it.
406,Sentence Structure Errors,She running in the park every morning.,She runs in the park every morning.
407,Sentence Structure Errors,The childrens had a lot of fun at the playground.,The children had a lot of fun at the playground.
408,Sentence Structure Errors,The book layed on the table for weeks.,The book lay on the table for weeks.
409,Sentence Structure Errors,I needs help with this heavy box.,I need help with this heavy box.
410,Sentence Structure Errors,I wants to learn how to cook a new recipe.,I want to learn how to cook a new recipe.
411,Sentence Structure Errors,We was playing soccer when it started to rain.,We were playing soccer when it started to rain.
412,Sentence Structure Errors,The laptops on the desk are belong to him.,The laptops on the desk belong to him.
413,Sentence Structure Errors,She going to the beach for vacation tomorrow.,She is going to the beach for vacation tomorrow.
414,Sentence Structure Errors,He don't know how to fix the broken faucet.,He doesn't know how to fix the broken faucet.
415,Sentence Structure Errors,The cat tried climbs the tree but couldn't.,The cat tried to climb the tree but couldn't.
416,Sentence Structure Errors,They enjoys reading mystery novels.,They enjoy reading mystery novels.
417,Sentence Structure Errors,She could ran faster if she trained more.,She could run faster if she trained more.
418,Sentence Structure Errors,The cookies needs to cool before we can eat them.,The cookies need to cool before we can eat them.
419,Sentence Structure Errors,She have a lot of work to do this weekend.,She has a lot of work to do this weekend.
420,Sentence Structure Errors,We played soccer and basketball at the park yesterday.,We played soccer and basketball at the park yesterday.
421,Sentence Structure Errors,I'm going to the store for buying some groceries.,I'm going to the store to buy some groceries.
423,Sentence Structure Errors,The teacher said be quiet and open your books.,The teacher said to be quiet and open your books.
424,Sentence Structure Errors,The phone battery drained quick and died.,The phone battery drained quickly and died.
426,Sentence Structure Errors,The doctor said my blood pressure are high.,The doctor said my blood pressure is high.
427,Sentence Structure Errors,She always forgets taking her medication.,She always forgets to take her medication.
429,Sentence Structure Errors,He was walk in the park when he found a wallet.,He was walking in the park when he found a wallet.
430,Sentence Structure Errors,I been waiting for the bus for over an hour.,I have been waiting for the bus for over an hour.
431,Sentence Structure Errors,The cat chased the mouse but it couldn't catched it.,The cat chased the mouse but couldn't catch it.
433,Sentence Structure Errors,She needs to learn how cook before she moves out.,She needs to learn how to cook before she moves out.
434,Sentence Structure Errors,I can't believe she ate the whole cake herself!,I can't believe she ate the whole cake by herself!
435,Sentence Structure Errors,The store sells a variety of clothes and shoes.,The store sells a variety of clothing and shoes.
437,Sentence Structure Errors,She has an appointment at the dentist on next week.,She has an appointment at the dentist next week.
438,Sentence Structure Errors,They went to beach and had a great time together.,They went to the beach and had a great time together.
439,Sentence Structure Errors,Our neighbors dog barks loudly every night.,Our neighbor's dog barks loudly every night.
440,Sentence Structure Errors,He wants to travelling to Europe next summer.,He wants to travel to Europe next summer.
441,Sentence Structure Errors,The recipe calls for two cups of sugar and a eggs.,The recipe calls for two cups of sugar and an egg.
442,Sentence Structure Errors,We must to finish the project before the deadline.,We must finish the project before the deadline.
443,Sentence Structure Errors,The concert will be held at the park on Saturday.,The concert will be held at the park this Saturday.
444,Sentence Structure Errors,The children plays outside after school each day.,The children play outside after school each day.
445,Sentence Structure Errors,She putted the flowers in a vase on the table.,She put the flowers in a vase on the table.
446,Sentence Structure Errors,The dog sleeps on the floor by its owner bed.,The dog sleeps on the floor by its owner's bed.
447,Sentence Structure Errors,The chef cooked a delicious meal for the guests.,The chef cooked a delicious meal for the guests.
449,Sentence Structure Errors,The painting was hang on the wall above the fireplace.,The painting was hung on the wall above the fireplace.
450,Sentence Structure Errors,The teacher gave the students they homework.,The teacher gave the students their homework.
451,Sentence Structure Errors,The table needs to be setted before dinner.,The table needs to be set before dinner.
452,Sentence Structure Errors,She has a few books that she wants to reading.,She has a few books that she wants to read.
453,Sentence Structure Errors,They goes to the same school as their cousins.,They go to the same school as their cousins.
455,Sentence Structure Errors,He works as a doctor and helps many peoples.,He works as a doctor and helps many people.
456,Sentence Structure Errors,She has a beautiful singing voice and sings often.,She has a beautiful singing voice and sings often.
458,Sentence Structure Errors,The boy throwed the ball to his friend in the park.,The boy threw the ball to his friend in the park.
459,Sentence Structure Errors,The childrens played hide and seek in the backyard.,The children played hide and seek in the backyard.
460,Sentence Structure Errors,She asked her friend if they wants to go shopping.,She asked her friend if they want to go shopping.
461,Sentence Structure Errors,The cake needs to be frosted after it cools down.,The cake needs to be frosted after it cools down.
462,Sentence Structure Errors,The store closes at 9:00pm and opens at 8:00am.,The store closes at 9:00 pm and opens at 8:00 am.
463,Sentence Structure Errors,We were surprised when she showed up at the party.,We were surprised when she showed up at the party.
464,Sentence Structure Errors,The baby was crying because it was hungry and tired.,The baby was crying because it was hungry and tired.
465,Sentence Structure Errors,The birds sings loudly in the trees every morning.,The birds sing loudly in the trees every morning.
466,Sentence Structure Errors,The sun sets in the west and rises in the east.,The sun sets in the west and rises in the east.
469,Sentence Structure Errors,She can plays the piano and the guitar very well.,She can play the piano and the guitar very well.
470,Sentence Structure Errors,The books on the shelf are belongs to the library.,The books on the shelf belong to the library.
471,Sentence Structure Errors,The dog chased the squirrels in the park yesterday.,The dog chased the squirrels in the park yesterday.
472,Sentence Structure Errors,The flowers in the garden are blooming beautifully.,The flowers in the garden are blooming beautifully.
474,Sentence Structure Errors,They visited their grandparents on the weekend.,They visited their grandparents on the weekend.
477,Sentence Structure Errors,She goes to the gym every day to exercising.,She goes to the gym every day to exercise.
478,Sentence Structure Errors,He was late to work because he missed his bus.,He was late to work because he missed his bus.
479,Sentence Structure Errors,The ice cream truck comes to our neighborhood often.,The ice cream truck comes to our neighborhood often.
480,Sentence Structure Errors,The computer is very slow and needs to be fixed.,The computer is very slow and needs to be fixed.
481,Sentence Structure Errors,The teacher asked the students to quiet down.,The teacher asked the students to quiet down.
482,Sentence Structure Errors,The cake needs more icing; it's not enough.,The cake needs more icing; there isn't enough.
483,Sentence Structure Errors,She has a lot of homeworks to do this weekend.,She has a lot of homework to do this weekend.
484,Sentence Structure Errors,He doesn't like to eat fish because of the taste.,He doesn't like to eat fish because of the taste.
485,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
486,Sentence Structure Errors,The car is parked in the driveway behind the house.,The car is parked in the driveway behind the house.
487,Sentence Structure Errors,He was reading a book when the phone rang.,He was reading a book when the phone rang.
488,Sentence Structure Errors,The children needs to be picked up from school.,The children need to be picked up from school.
490,Sentence Structure Errors,She wants to learn how to play the violin this year.,She wants to learn how to play the violin this year.
491,Sentence Structure Errors,The dog is very friendly and loves to play fetch.,The dog is very friendly and loves to play fetch.
492,Sentence Structure Errors,The store is closed today because of the holiday.,The store is closed today because of the holiday.
493,Sentence Structure Errors,The plants needs to be watered every day.,The plants need to be watered every day.
495,Sentence Structure Errors,He was very tired after working all day.,He was very tired after working all day.
496,Sentence Structure Errors,The new restaurant serves delicious food.,The new restaurant serves delicious food.
497,Sentence Structure Errors,She was very excited about her upcoming vacation.,She was very excited about her upcoming vacation.
498,Sentence Structure Errors,The doctor told him to get plenty of rest and fluids.,The doctor told him to get plenty of rest and fluids.
499,Spelling Mistakes,She always be triying new things.,She always tries new things.
500,Spelling Mistakes,John and me went to the store yesterday.,John and I went to the store yesterday.
501,Spelling Mistakes,The books is on the shelf in the library.,The book is on the shelf in the library.
502,Spelling Mistakes,The car needs to be wash before we go.,The car needs to be washed before we go.
505,Spelling Mistakes,She prefered to eat apple instead of orange.,She preferred to eat an apple instead of an orange.
506,Spelling Mistakes,Can you tell me were the nearest bank are?,Can you tell me where the nearest bank is?
508,Spelling Mistakes,I'm going to the gym to excersise for an hour.,I'm going to the gym to exercise for an hour.
509,Spelling Mistakes,The company is launching a innnovative product soon.,The company is launching an innovative product soon.
510,Spelling Mistakes,This plants need water everyday to grow well.,These plants need water every day to grow well.
511,Spelling Mistakes,She was very upset and started to cryed.,She was very upset and started to cry.
512,Spelling Mistakes,The cake needs to be baked in 350 degress for 30 minutes.,The cake needs to be baked at 350 degrees for 30 minutes.
513,Spelling Mistakes,I am a student at University of Washinton.,I am a student at the University of Washington.
517,Spelling Mistakes,The dog chased it's tail in the park.,The dog chased its tail in the park.
519,Spelling Mistakes,They're going to there friend's house for dinner.,They're going to their friend's house for dinner.
520,Spelling Mistakes,Please put the dirty dishes into the washing mashine.,Please put the dirty dishes into the washing machine.
521,Spelling Mistakes,She is studing biology at the university this semester.,She is studying biology at the university this semester.
522,Spelling Mistakes,The manager wants to hire a new assistent for his department.,The manager wants to hire a new assistant for his department.
524,Spelling Mistakes,The ocean is fill with various species of fish and mammals.,The ocean is filled with various species of fish and mammals.
525,Spelling Mistakes,The book is about a man who travells through time.,The book is about a man who travels through time.
526,Spelling Mistakes,He lost his wallet and now he has no moneys.,He lost his wallet and now he has no money.
528,Spelling Mistakes,She offen has to work late hours at her job.,She often has to work late hours at her job.
530,Spelling Mistakes,The cat was stuck on the tree and couldn't got down.,The cat was stuck in the tree and couldn't get down.
531,Spelling Mistakes,He was driving too fast and lost control of the vehicel.,He was driving too fast and lost control of the vehicle.
532,Spelling Mistakes,The airplane was delayed due to bad wheather conditions.,The airplane was delayed due to bad weather conditions.
533,Spelling Mistakes,She is a expert in her field and has written many articles.,She is an expert in her field and has written many articles.
534,Spelling Mistakes,The restaurant offers a wide varity of dishes.,The restaurant offers a wide variety of dishes.
536,Spelling Mistakes,He recieved a letter from an unkown person.,He received a letter from an unknown person.
537,Spelling Mistakes,The teacher was explaning a difficult concept to the students.,The teacher was explaining a difficult concept to the students.
538,Spelling Mistakes,She has been working for the company since six years.,She has been working for the company for six years.
539,Spelling Mistakes,The hotel provides towels and bedsheet to its guests.,The hotel provides towels and bed sheets to its guests.
540,Spelling Mistakes,The baby was crying beacuse it was hungry.,The baby was crying because it was hungry.
541,Spelling Mistakes,There's a new resturant in town that serves delicious food.,There's a new restaurant in town that serves delicious food.
542,Spelling Mistakes,The movie was very interesting and full of suspence.,The movie was very interesting and full of suspense.
543,Spelling Mistakes,The children were playing hide-and-seek in the backyard.,The children were playing hide-and-seek in the backyard.
544,Spelling Mistakes,I can't believe how fast my daughter is groing up.,I can't believe how fast my daughter is growing up.
549,Spelling Mistakes,She loves to listen to music and sing along with her favorit songs.,She loves to listen to music and sing along with her favorite songs.
550,Spelling Mistakes,The scientists are researching new methods of energy production.,The scientists are researching new methods of energy production.
552,Spelling Mistakes,The candidate was nervus during the job interview.,The candidate was nervous during the job interview.
553,Spelling Mistakes,The book shelf was full of old dusty books.,The bookshelf was full of old dusty books.
555,Spelling Mistakes,The car accident happend at the intersection of two roads.,The car accident happened at the intersection of two roads.
556,Spelling Mistakes,The dog was wagging it's tail happily when it saw its owner.,The dog was wagging its tail happily when it saw its owner.
557,Spelling Mistakes,The paintings in the museum were truly breath taking.,The paintings in the museum were truly breathtaking.
558,Spelling Mistakes,The students were waiting impatiantly for the test results.,The students were waiting impatiently for the test results.
559,Spelling Mistakes,The city is known for its historic architecture and buetiful parks.,The city is known for its historic architecture and beautiful parks.
560,Spelling Mistakes,The recipe calls for two cups of flower and one cup of sugar.,The recipe calls for two cups of flour and one cup of sugar.
561,Spelling Mistakes,The athlete jumped over the huddle with ease.,The athlete jumped over the hurdle with ease.
562,Spelling Mistakes,The librarian helped the student find the book she was looking for.,The librarian helped the student find the book she was looking for.
563,Spelling Mistakes,The cake was decorated with icing flowers and colorful sprikles.,The cake was decorated with icing flowers and colorful sprinkles.
564,Spelling Mistakes,The team was excited about their victory in the tournment.,The team was excited about their victory in the tournament.
565,Spelling Mistakes,The computer software was infected with a dangerous virus.,The computer software was infected with a dangerous virus.
566,Spelling Mistakes,The weather forecast predicts rain for the next three days.,The weather forecast predicts rain for the next three days.
567,Spelling Mistakes,The company's annual revenue has increasd by 10% this year.,The company's annual revenue has increased by 10% this year.
568,Spelling Mistakes,She was doing her daily exercise routine in the mornig.,She was doing her daily exercise routine in the morning.
569,Spelling Mistakes,The house was decorated with balloons and banners for the party.,The house was decorated with balloons and banners for the party.
570,Spelling Mistakes,The farmer was milking the cow in the barn early in the morning.,The farmer was milking the cow in the barn early in the morning.
572,Spelling Mistakes,The new phone has a better camera and a longer batery life.,The new phone has a better camera and a longer battery life.
573,Spelling Mistakes,He was walking in the forest when he heard a strange noice.,He was walking in the forest when he heard a strange noise.
574,Spelling Mistakes,The package was delivered to the wrong adress by mistake.,The package was delivered to the wrong address by mistake.
575,Spelling Mistakes,The train was delayed due to a problem with the rail tracks.,The train was delayed due to a problem with the railroad tracks.
577,Spelling Mistakes,The kids were playing in the sandbox and building sandcastels.,The kids were playing in the sandbox and building sandcastles.
578,Spelling Mistakes,The boy cutted his finger while peeling the apple.,The boy cut his finger while peeling the apple.
579,Spelling Mistakes,The ice cream was melting quickly in the hot summer sun.,The ice cream was melting quickly in the hot summer sun.
581,Spelling Mistakes,I asked her to call me when she arives at the airport.,I asked her to call me when she arrives at the airport.
582,Spelling Mistakes,The city is facing a water shortage due to the ongoing drought.,The city is facing a water shortage due to the ongoing drought.
583,Spelling Mistakes,The elephant is the largest mamal on Earth.,The elephant is the largest mammal on Earth.
584,Spelling Mistakes,The teacher asked the students to be quite during the test.,The teacher asked the students to be quiet during the test.
585,Spelling Mistakes,The car was parked on the street and had a flat tyre.,The car was parked on the street and had a flat tire.
586,Spelling Mistakes,The football player scored a goal in the last minute of the game.,The football player scored a goal in the last minute of the game.
587,Spelling Mistakes,The little girl was looking forward to her birthay party.,The little girl was looking forward to her birthday party.
588,Spelling Mistakes,He bought a new pair of shoes that were very unconfortable.,He bought a new pair of shoes that were very uncomfortable.
589,Spelling Mistakes,The scientist presented his research findings at the conference.,The scientist presented his research findings at the conference.
592,Spelling Mistakes,She was afraid of hights and couldn't climb the ladder.,She was afraid of heights and couldn't climb the ladder.
594,Spelling Mistakes,The store clerk was counting the money in the cash register.,The store clerk was counting the money in the cash register.
595,Spelling Mistakes,The tourists were taking pictures of the beautful waterfall.,The tourists were taking pictures of the beautiful waterfall.
596,Spelling Mistakes,The conference room was equiped with a projector and whiteboard.,The conference room was equipped with a projector and whiteboard.
597,Spelling Mistakes,The doctor adviced her to exercise regularly and eat healthy.,The doctor advised her to exercise regularly and eat healthily.
598,Spelling Mistakes,The company is celebrating it's 10th anniversary this year.,The company is celebrating its 10th anniversary this year.
599,Punctuation Errors,I dont know what your talking about.,I don’t know what you’re talking about.
603,Punctuation Errors,Where are you going? asked Mary.,“Where are you going?” asked Mary.
604,Punctuation Errors,The teacher gave us alot of homework.,The teacher gave us a lot of homework.
605,Punctuation Errors,Theyre dog is very cute.,Their dog is very cute.
607,Punctuation Errors,Can you help me with this problem?,Can you help me with this problem?
611,Punctuation Errors,How are you doing today?,How are you doing today?
614,Punctuation Errors,He is not only a good singer but also a good dancer.,He is not only a good singer but also a good dancer.
616,Punctuation Errors,What time is it? he wondered.,“What time is it?” he wondered.
618,Punctuation Errors,He was late for the meeting because of the traffic.,He was late for the meeting because of the traffic.
635,Punctuation Errors,The movie was amazing it blew my mind!,The movie was amazing; it blew my mind!
638,Punctuation Errors,I can't find my keys have you seen them?,I can't find my keys; have you seen them?
646,Punctuation Errors,The weather is terrible today it's been raining nonstop.,The weather is terrible today; it's been raining nonstop.
650,Punctuation Errors,The concert was amazing I had a fantastic time!,The concert was amazing; I had a fantastic time!
659,Capitalization Errors,i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
661,Capitalization Errors,the amazon rainforest is the largest tropical rainforest in the world.,The Amazon Rainforest is the largest tropical rainforest in the world.
662,Capitalization Errors,please submit your application to the department of human resources.,Please submit your application to the Department of Human Resources.
663,Capitalization Errors,the pacific ocean is the largest and deepest ocean on Earth.,The Pacific Ocean is the largest and deepest ocean on Earth.
664,Capitalization Errors,he left for los angeles early in the morning.,He left for Los Angeles early in the morning.
666,Capitalization Errors,can you pick up some coca-cola from the store?,Can you pick up some Coca-Cola from the store?
667,Capitalization Errors,i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
670,Capitalization Errors,i need to book a flight to london on british airways.,I need to book a flight to London on British Airways.
671,Capitalization Errors,i recently watched the movie inception directed by christopher nolan.,I recently watched the movie Inception directed by Christopher Nolan.
672,Capitalization Errors,the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
673,Capitalization Errors,the international space station orbits Earth every 90 minutes.,The International Space Station orbits Earth every 90 minutes.
674,Capitalization Errors,she is studying at the university of cambridge in the united kingdom.,She is studying at the University of Cambridge in the United Kingdom.
675,Capitalization Errors,the book pride and prejudice was written by jane austen.,The book Pride and Prejudice was written by Jane Austen.
676,Capitalization Errors,mount everest is the highest peak in the world.,Mount Everest is the highest peak in the world.
677,Capitalization Errors,the mona lisa is a famous painting by leonardo da vinci.,The Mona Lisa is a famous painting by Leonardo da Vinci.
678,Capitalization Errors,the national aeronautics and space administration (nasa) was founded in 1958.,The National Aeronautics and Space Administration (NASA) was founded in 1958.
679,Capitalization Errors,she is a doctor and he is a lawyer.,She is a doctor and he is a lawyer.
680,Capitalization Errors,the sun rises in the east and sets in the west.,The sun rises in the east and sets in the west.
681,Capitalization Errors,what is your name?,What is your name?
683,Capitalization Errors,we went to paris last summer.,We went to Paris last summer.
686,Capitalization Errors,my birthday is on january 1st.,My birthday is on January 1st.
687,Capitalization Errors,harry potter is a famous book series by j.k. rowling.,Harry Potter is a famous book series by J.K. Rowling.
688,Capitalization Errors,i don’t know how to play chess.,I don’t know how to play chess.
689,Capitalization Errors,can you help me with my homework?,Can you help me with my homework?
690,Capitalization Errors,this is a beautiful painting by vincent van gogh.,This is a beautiful painting by Vincent van Gogh.
691,Capitalization Errors,i’m going to the movies with my friends.,I’m going to the movies with my friends.
692,Capitalization Errors,do you like chocolate or vanilla?,Do you like chocolate or vanilla?
694,Capitalization Errors,she loves reading books by jane austen.,She loves reading books by Jane Austen.
695,Capitalization Errors,i’m learning spanish and french.,I’m learning Spanish and French.
698,Capitalization Errors,we celebrate christmas on december 25th.,We celebrate Christmas on December 25th.
699,Word Choice/Usage,The weather outside is very extreem today.,The weather outside is very extreme today.
700,Word Choice/Usage,She didn't excepted the job offer.,She didn't accept the job offer.
701,Word Choice/Usage,I want to loose some weight before the event.,I want to lose some weight before the event.
702,Word Choice/Usage,He was effected by the new regulations.,He was affected by the new regulations.
703,Word Choice/Usage,Please be advise on the new office policy.,Please be advised on the new office policy.
704,Word Choice/Usage,She gave a complimentary to her colleague.,She gave a compliment to her colleague.
705,Word Choice/Usage,The guests were impressed by the luxurious desert.,The guests were impressed by the luxurious dessert.
706,Word Choice/Usage,The principle called a meeting with the teachers.,The principal called a meeting with the teachers.
707,Word Choice/Usage,Can you tell me the currant exchange rate?,Can you tell me the current exchange rate?
708,Word Choice/Usage,The author's preface is followed by a forward.,The author's preface is followed by a foreword.
709,Word Choice/Usage,Your computer has a virus and needs to be de-fragmented.,Your computer has a virus and needs to be defragmented.
710,Word Choice/Usage,I need to buy a new pear of sneakers.,I need to buy a new pair of sneakers.
711,Word Choice/Usage,He was wearing a suite to the interview.,He was wearing a suit to the interview.
712,Word Choice/Usage,The movie was based on a true storey.,The movie was based on a true story.
713,Word Choice/Usage,I have a soar throat and a headache.,I have a sore throat and a headache.
714,Word Choice/Usage,The company is planning to launch its new product next weak.,The company is planning to launch its new product next week.
715,Word Choice/Usage,She was very discrete about her personal life.,She was very discreet about her personal life.
716,Word Choice/Usage,The scientists were studying the affects of pollution on health.,The scientists were studying the effects of pollution on health.
717,Word Choice/Usage,The suspect will be trialed in court next month.,The suspect will be tried in court next month.
719,Word Choice/Usage,She excepted his offer with gratitude.,She accepted his offer with gratitude.
720,Word Choice/Usage,He was very adapt at playing chess.,He was very adept at playing chess.
721,Word Choice/Usage,The affect of the storm was devastating.,The effect of the storm was devastating.
722,Word Choice/Usage,They had a lot of fun at the principle’s office.,They had a lot of fun at the principal’s office.
723,Word Choice/Usage,She complimented him on his descent performance.,She complimented him on his decent performance.
725,Word Choice/Usage,She was very conscience of her appearance.,She was very conscious of her appearance.
726,Word Choice/Usage,He advised her to be discreet about her plans.,He advised her to be discreet about her plans.
727,Word Choice/Usage,She had a flair for writing poetry.,She had a flair for writing poetry.
728,Word Choice/Usage,He was not fazed by the criticism.,He was not fazed by the criticism.
729,Word Choice/Usage,She gave him a piece of her mind.,She gave him a piece of her mind.
730,Word Choice/Usage,He was very weary after the long journey.,He was very weary after the long journey.
731,Word Choice/Usage,She had a personal stake in the outcome.,She had a personal stake in the outcome.
732,Word Choice/Usage,He complimented her on her beautiful hair.,He complimented her on her beautiful hair.
733,Word Choice/Usage,She was very discrete in her dealings.,She was very discreet in her dealings.
734,Word Choice/Usage,He had a lot of patients as a doctor.,He had a lot of patients as a doctor.
735,Word Choice/Usage,She was very complementary to his work.,She was very complimentary to his work.
736,Word Choice/Usage,He had a hard time choosing between the two options.,He had a hard time choosing between the two options.
737,Word Choice/Usage,She was very reluctant to except his apology.,She was very reluctant to accept his apology.
738,Word Choice/Usage,He was very confidant in his abilities.,He was very confident in his abilities.
741,Run-on Sentences,The sun is shining it's a beautiful day.,The sun is shining; it's a beautiful day.
742,Run-on Sentences,He failed the test he didn't study enough.,He failed the test because he didn't study enough.
750,Run-on Sentences,The flowers are blooming spring has arrived.,The flowers are blooming since spring has arrived.
761,Run-on Sentences,I like chocolate cake it is my favorite dessert.,I like chocolate cake; it is my favorite dessert.
763,Run-on Sentences,She is a good singer she has a beautiful voice.,She is a good singer because she has a beautiful voice.
769,Run-on Sentences,She is a doctor she works at a hospital.,She is a doctor who works at a hospital.
772,Run-on Sentences,They are friends they met in college.,They are friends who met in college.
776,Run-on Sentences,He is a teacher he teaches math.,He is a teacher who teaches math.
780,Sentence Fragments,She late for meeting.,She was late for the meeting.
781,Sentence Fragments,He the best teacher.,He is the best teacher.
782,Sentence Fragments,Can you me a favor?,Can you do me a favor?
784,Sentence Fragments,I my phone in my bag.,I left my phone in my bag.
819,Redundancy/Repetition,I went to the store store.,I went to the store.
821,Redundancy/Repetition,He accidentally made the same mistake twice.,He accidentally made the same mistake.
824,Redundancy/Repetition,I need to buy new shoes because my old shoes are old.,I need to buy new shoes because my old ones are worn.
825,Redundancy/Repetition,The pizza was so delicious and very tasty.,The pizza was delicious.
826,Redundancy/Repetition,He is always continuously working on his projects.,He is always working on his projects.
827,Redundancy/Repetition,She traveled to many different various countries.,She traveled to many countries.
828,Redundancy/Repetition,The store is closed today due to the holiday holiday.,The store is closed today due to the holiday.
829,Redundancy/Repetition,The movie was boring and it was not interesting.,The movie was boring.
830,Redundancy/Repetition,John whispered quietly so that nobody could hear.,John whispered so that nobody could hear.
833,Redundancy/Repetition,The little small puppy was so cute.,The little puppy was so cute.
834,Redundancy/Repetition,She was angry and furious about the situation.,She was furious about the situation.
835,Redundancy/Repetition,I have to finish my work by the end of the day today.,I have to finish my work by the end of the day.
836,Redundancy/Repetition,The athlete ran quickly with great speed.,The athlete ran quickly.
837,Redundancy/Repetition,The cake is sweet and has a sugary taste.,The cake is sweet.
838,Redundancy/Repetition,I'll email you the details and the information.,I'll email you the details.
839,Mixed Metaphors/Idioms,Let's not open up that can of worms in the same boat.,Let's not open up that can of worms.
840,Mixed Metaphors/Idioms,You're comparing apples to oranges while the cat's away.,You're comparing apples to oranges.
841,Mixed Metaphors/Idioms,You can't judge a book by its cover with a grain of salt.,You can't judge a book by its cover.
843,Mixed Metaphors/Idioms,Let's not put all our eggs in one basket out of the frying pan and into the fire.,Let's not put all our eggs in one basket.
846,Mixed Metaphors/Idioms,She's biting off more than she can chew between a rock and a hard place.,She's biting off more than she can chew.
853,Mixed Metaphors/Idioms,He's barking up the wrong tree at the end of the day.,He's barking up the wrong tree.
889,Passive Voice Overuse,The car was driven by Sarah to the supermarket.,Sarah drove the car to the supermarket.
890,Passive Voice Overuse,The cake was eaten by the guests at the party.,The guests ate the cake at the party.
891,Passive Voice Overuse,The report was completed by the team before the deadline.,The team completed the report before the deadline.
892,Passive Voice Overuse,The movie was enjoyed by everyone in the theater.,Everyone in the theater enjoyed the movie.
893,Passive Voice Overuse,The computer was repaired by the technician yesterday.,The technician repaired the computer yesterday.
894,Passive Voice Overuse,The package was delivered by the mail carrier this morning.,The mail carrier delivered the package this morning.
895,Passive Voice Overuse,The lecture was given by Professor Smith.,Professor Smith gave the lecture.
896,Passive Voice Overuse,The song was performed by the choir at the concert.,The choir performed the song at the concert.
897,Passive Voice Overuse,The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
