"Ungrammatical_Statement","Standard_English"
"The plants needs to be watered every day.","The plants need to be watered every day."
"He was very tired after working all day.","He was very tired after working all day."
"The new restaurant serves delicious food.","The new restaurant serves delicious food."
"She was very excited about her upcoming vacation.","She was very excited about her upcoming vacation."
"The doctor told him to get plenty of rest and fluids.","The doctor told him to get plenty of rest and fluids."
"She always be triying new things.","She always tries new things."
"John and me went to the store yesterday.","John and I went to the store yesterday."
"The books is on the shelf in the library.","The book is on the shelf in the library."
"The car needs to be wash before we go.","The car needs to be washed before we go."
"She prefered to eat apple instead of orange.","She preferred to eat an apple instead of an orange."
"Can you tell me were the nearest bank are?","Can you tell me where the nearest bank is?"
"I'm going to the gym to excersise for an hour.","I'm going to the gym to exercise for an hour."
"The company is launching a innnovative product soon.","The company is launching an innovative product soon."
"This plants need water everyday to grow well.","These plants need water every day to grow well."
"She was very upset and started to cryed.","She was very upset and started to cry."
"The cake needs to be baked in 350 degress for 30 minutes.","The cake needs to be baked at 350 degrees for 30 minutes."
"I am a student at University of Washinton.","I am a student at the University of Washington."
"The dog chased it's tail in the park.","The dog chased its tail in the park."
"They're going to there friend's house for dinner.","They're going to their friend's house for dinner."
"Please put the dirty dishes into the washing mashine.","Please put the dirty dishes into the washing machine."
"She is studing biology at the university this semester.","She is studying biology at the university this semester."
"The manager wants to hire a new assistent for his department.","The manager wants to hire a new assistant for his department."
"The ocean is fill with various species of fish and mammals.","The ocean is filled with various species of fish and mammals."
"The book is about a man who travells through time.","The book is about a man who travels through time."
"He lost his wallet and now he has no moneys.","He lost his wallet and now he has no money."
"She offen has to work late hours at her job.","She often has to work late hours at her job."
"The cat was stuck on the tree and couldn't got down.","The cat was stuck in the tree and couldn't get down."
"He was driving too fast and lost control of the vehicel.","He was driving too fast and lost control of the vehicle."
"The airplane was delayed due to bad wheather conditions.","The airplane was delayed due to bad weather conditions."
"She is a expert in her field and has written many articles.","She is an expert in her field and has written many articles."
"The restaurant offers a wide varity of dishes.","The restaurant offers a wide variety of dishes."
"He recieved a letter from an unkown person.","He received a letter from an unknown person."
"The teacher was explaning a difficult concept to the students.","The teacher was explaining a difficult concept to the students."
"She has been working for the company since six years.","She has been working for the company for six years."
"The hotel provides towels and bedsheet to its guests.","The hotel provides towels and bed sheets to its guests."
"The baby was crying beacuse it was hungry.","The baby was crying because it was hungry."
"There's a new resturant in town that serves delicious food.","There's a new restaurant in town that serves delicious food."
"The movie was very interesting and full of suspence.","The movie was very interesting and full of suspense."
"The children were playing hide-and-seek in the backyard.","The children were playing hide-and-seek in the backyard."
"I can't believe how fast my daughter is groing up.","I can't believe how fast my daughter is growing up."
"She loves to listen to music and sing along with her favorit songs.","She loves to listen to music and sing along with her favorite songs."
"The scientists are researching new methods of energy production.","The scientists are researching new methods of energy production."
"The candidate was nervus during the job interview.","The candidate was nervous during the job interview."
"The book shelf was full of old dusty books.","The bookshelf was full of old dusty books."
"The car accident happend at the intersection of two roads.","The car accident happened at the intersection of two roads."
"The dog was wagging it's tail happily when it saw its owner.","The dog was wagging its tail happily when it saw its owner."
"The paintings in the museum were truly breath taking.","The paintings in the museum were truly breathtaking."
"The students were waiting impatiantly for the test results.","The students were waiting impatiently for the test results."
"The city is known for its historic architecture and buetiful parks.","The city is known for its historic architecture and beautiful parks."
"The recipe calls for two cups of flower and one cup of sugar.","The recipe calls for two cups of flour and one cup of sugar."
"The athlete jumped over the huddle with ease.","The athlete jumped over the hurdle with ease."
"The librarian helped the student find the book she was looking for.","The librarian helped the student find the book she was looking for."
"The cake was decorated with icing flowers and colorful sprikles.","The cake was decorated with icing flowers and colorful sprinkles."
"The team was excited about their victory in the tournment.","The team was excited about their victory in the tournament."
"The computer software was infected with a dangerous virus.","The computer software was infected with a dangerous virus."
"The weather forecast predicts rain for the next three days.","The weather forecast predicts rain for the next three days."
"The company's annual revenue has increasd by 10% this year.","The company's annual revenue has increased by 10% this year."
"She was doing her daily exercise routine in the mornig.","She was doing her daily exercise routine in the morning."
"The house was decorated with balloons and banners for the party.","The house was decorated with balloons and banners for the party."
"The farmer was milking the cow in the barn early in the morning.","The farmer was milking the cow in the barn early in the morning."
"The new phone has a better camera and a longer batery life.","The new phone has a better camera and a longer battery life."
"He was walking in the forest when he heard a strange noice.","He was walking in the forest when he heard a strange noise."
"The package was delivered to the wrong adress by mistake.","The package was delivered to the wrong address by mistake."
"The train was delayed due to a problem with the rail tracks.","The train was delayed due to a problem with the railroad tracks."
"The kids were playing in the sandbox and building sandcastels.","The kids were playing in the sandbox and building sandcastles."
"The boy cutted his finger while peeling the apple.","The boy cut his finger while peeling the apple."
"The ice cream was melting quickly in the hot summer sun.","The ice cream was melting quickly in the hot summer sun."
"I asked her to call me when she arives at the airport.","I asked her to call me when she arrives at the airport."
"The city is facing a water shortage due to the ongoing drought.","The city is facing a water shortage due to the ongoing drought."
"The elephant is the largest mamal on Earth.","The elephant is the largest mammal on Earth."
"The teacher asked the students to be quite during the test.","The teacher asked the students to be quiet during the test."
"The car was parked on the street and had a flat tyre.","The car was parked on the street and had a flat tire."
"The football player scored a goal in the last minute of the game.","The football player scored a goal in the last minute of the game."
"The little girl was looking forward to her birthay party.","The little girl was looking forward to her birthday party."
"He bought a new pair of shoes that were very unconfortable.","He bought a new pair of shoes that were very uncomfortable."
"The scientist presented his research findings at the conference.","The scientist presented his research findings at the conference."
"She was afraid of hights and couldn't climb the ladder.","She was afraid of heights and couldn't climb the ladder."
"The store clerk was counting the money in the cash register.","The store clerk was counting the money in the cash register."
"The tourists were taking pictures of the beautful waterfall.","The tourists were taking pictures of the beautiful waterfall."
"The conference room was equiped with a projector and whiteboard.","The conference room was equipped with a projector and whiteboard."
"The doctor adviced her to exercise regularly and eat healthy.","The doctor advised her to exercise regularly and eat healthily."
"The company is celebrating it's 10th anniversary this year.","The company is celebrating its 10th anniversary this year."
"I dont know what your talking about.","I don’t know what you’re talking about."
"Where are you going? asked Mary.","“Where are you going?” asked Mary."
"The teacher gave us alot of homework.","The teacher gave us a lot of homework."
"Theyre dog is very cute.","Their dog is very cute."
"Can you help me with this problem?","Can you help me with this problem?"
"How are you doing today?","How are you doing today?"
"He is not only a good singer but also a good dancer.","He is not only a good singer but also a good dancer."
"What time is it? he wondered.","“What time is it?” he wondered."
"He was late for the meeting because of the traffic.","He was late for the meeting because of the traffic."
"The movie was amazing it blew my mind!","The movie was amazing; it blew my mind!"
"I can't find my keys have you seen them?","I can't find my keys; have you seen them?"
"The weather is terrible today it's been raining nonstop.","The weather is terrible today; it's been raining nonstop."
"The concert was amazing I had a fantastic time!","The concert was amazing; I had a fantastic time!"
"i have a meeting on Monday with dr. Smith.","I have a meeting on Monday with Dr. Smith."
"the amazon rainforest is the largest tropical rainforest in the world.","The Amazon Rainforest is the largest tropical rainforest in the world."
"please submit your application to the department of human resources.","Please submit your application to the Department of Human Resources."
"the pacific ocean is the largest and deepest ocean on Earth.","The Pacific Ocean is the largest and deepest ocean on Earth."
"he left for los angeles early in the morning.","He left for Los Angeles early in the morning."
"can you pick up some coca-cola from the store?","Can you pick up some Coca-Cola from the store?"
"i'm reading harry potter and the philosopher's stone.","I'm reading Harry Potter and the Philosopher's Stone."
"i need to book a flight to london on british airways.","I need to book a flight to London on British Airways."
"i recently watched the movie inception directed by christopher nolan.","I recently watched the movie Inception directed by Christopher Nolan."
"the great wall of china is an iconic landmark in china.","The Great Wall of China is an iconic landmark in China."
"the international space station orbits Earth every 90 minutes.","The International Space Station orbits Earth every 90 minutes."
"she is studying at the university of cambridge in the united kingdom.","She is studying at the University of Cambridge in the United Kingdom."
"the book pride and prejudice was written by jane austen.","The book Pride and Prejudice was written by Jane Austen."
"mount everest is the highest peak in the world.","Mount Everest is the highest peak in the world."
"the mona lisa is a famous painting by leonardo da vinci.","The Mona Lisa is a famous painting by Leonardo da Vinci."
"the national aeronautics and space administration (nasa) was founded in 1958.","The National Aeronautics and Space Administration (NASA) was founded in 1958."
"she is a doctor and he is a lawyer.","She is a doctor and he is a lawyer."
"the sun rises in the east and sets in the west.","The sun rises in the east and sets in the west."
"what is your name?","What is your name?"
"we went to paris last summer.","We went to Paris last summer."
"my birthday is on january 1st.","My birthday is on January 1st."
"harry potter is a famous book series by j.k. rowling.","Harry Potter is a famous book series by J.K. Rowling."
"i don’t know how to play chess.","I don’t know how to play chess."
"can you help me with my homework?","Can you help me with my homework?"
"this is a beautiful painting by vincent van gogh.","This is a beautiful painting by Vincent van Gogh."
"i’m going to the movies with my friends.","I’m going to the movies with my friends."
"do you like chocolate or vanilla?","Do you like chocolate or vanilla?"
"she loves reading books by jane austen.","She loves reading books by Jane Austen."
"i’m learning spanish and french.","I’m learning Spanish and French."
"we celebrate christmas on december 25th.","We celebrate Christmas on December 25th."
"The weather outside is very extreem today.","The weather outside is very extreme today."
"She didn't excepted the job offer.","She didn't accept the job offer."
"I want to loose some weight before the event.","I want to lose some weight before the event."
"He was effected by the new regulations.","He was affected by the new regulations."
"Please be advise on the new office policy.","Please be advised on the new office policy."
"She gave a complimentary to her colleague.","She gave a compliment to her colleague."
"The guests were impressed by the luxurious desert.","The guests were impressed by the luxurious dessert."
"The principle called a meeting with the teachers.","The principal called a meeting with the teachers."
"Can you tell me the currant exchange rate?","Can you tell me the current exchange rate?"
"The author's preface is followed by a forward.","The author's preface is followed by a foreword."
"Your computer has a virus and needs to be de-fragmented.","Your computer has a virus and needs to be defragmented."
"I need to buy a new pear of sneakers.","I need to buy a new pair of sneakers."
"He was wearing a suite to the interview.","He was wearing a suit to the interview."
"The movie was based on a true storey.","The movie was based on a true story."
"I have a soar throat and a headache.","I have a sore throat and a headache."
"The company is planning to launch its new product next weak.","The company is planning to launch its new product next week."
"She was very discrete about her personal life.","She was very discreet about her personal life."
"The scientists were studying the affects of pollution on health.","The scientists were studying the effects of pollution on health."
"The suspect will be trialed in court next month.","The suspect will be tried in court next month."
"She excepted his offer with gratitude.","She accepted his offer with gratitude."
"He was very adapt at playing chess.","He was very adept at playing chess."
"The affect of the storm was devastating.","The effect of the storm was devastating."
"They had a lot of fun at the principle’s office.","They had a lot of fun at the principal’s office."
"She complimented him on his descent performance.","She complimented him on his decent performance."
"She was very conscience of her appearance.","She was very conscious of her appearance."
"He advised her to be discreet about her plans.","He advised her to be discreet about her plans."
"She had a flair for writing poetry.","She had a flair for writing poetry."
"He was not fazed by the criticism.","He was not fazed by the criticism."
"She gave him a piece of her mind.","She gave him a piece of her mind."
"He was very weary after the long journey.","He was very weary after the long journey."
"She had a personal stake in the outcome.","She had a personal stake in the outcome."
"He complimented her on her beautiful hair.","He complimented her on her beautiful hair."
"She was very discrete in her dealings.","She was very discreet in her dealings."
"He had a lot of patients as a doctor.","He had a lot of patients as a doctor."
"She was very complementary to his work.","She was very complimentary to his work."
"He had a hard time choosing between the two options.","He had a hard time choosing between the two options."
"She was very reluctant to except his apology.","She was very reluctant to accept his apology."
"He was very confidant in his abilities.","He was very confident in his abilities."
"The sun is shining it's a beautiful day.","The sun is shining; it's a beautiful day."
"He failed the test he didn't study enough.","He failed the test because he didn't study enough."
"The flowers are blooming spring has arrived.","The flowers are blooming since spring has arrived."
"I like chocolate cake it is my favorite dessert.","I like chocolate cake; it is my favorite dessert."
"She is a good singer she has a beautiful voice.","She is a good singer because she has a beautiful voice."
"She is a doctor she works at a hospital.","She is a doctor who works at a hospital."
"They are friends they met in college.","They are friends who met in college."
"He is a teacher he teaches math.","He is a teacher who teaches math."
"She late for meeting.","She was late for the meeting."
"He the best teacher.","He is the best teacher."
"Can you me a favor?","Can you do me a favor?"
"I my phone in my bag.","I left my phone in my bag."
"I went to the store store.","I went to the store."
"He accidentally made the same mistake twice.","He accidentally made the same mistake."
"I need to buy new shoes because my old shoes are old.","I need to buy new shoes because my old ones are worn."
"The pizza was so delicious and very tasty.","The pizza was delicious."
"He is always continuously working on his projects.","He is always working on his projects."
"She traveled to many different various countries.","She traveled to many countries."
"The store is closed today due to the holiday holiday.","The store is closed today due to the holiday."
"The movie was boring and it was not interesting.","The movie was boring."
"John whispered quietly so that nobody could hear.","John whispered so that nobody could hear."
"The little small puppy was so cute.","The little puppy was so cute."
"She was angry and furious about the situation.","She was furious about the situation."
"I have to finish my work by the end of the day today.","I have to finish my work by the end of the day."
"The athlete ran quickly with great speed.","The athlete ran quickly."
"The cake is sweet and has a sugary taste.","The cake is sweet."
"I'll email you the details and the information.","I'll email you the details."
"Let's not open up that can of worms in the same boat.","Let's not open up that can of worms."
"You're comparing apples to oranges while the cat's away.","You're comparing apples to oranges."
"You can't judge a book by its cover with a grain of salt.","You can't judge a book by its cover."
"Let's not put all our eggs in one basket out of the frying pan and into the fire.","Let's not put all our eggs in one basket."
"She's biting off more than she can chew between a rock and a hard place.","She's biting off more than she can chew."
"He's barking up the wrong tree at the end of the day.","He's barking up the wrong tree."
"The car was driven by Sarah to the supermarket.","Sarah drove the car to the supermarket."
"The cake was eaten by the guests at the party.","The guests ate the cake at the party."
"The report was completed by the team before the deadline.","The team completed the report before the deadline."
"The movie was enjoyed by everyone in the theater.","Everyone in the theater enjoyed the movie."
"The computer was repaired by the technician yesterday.","The technician repaired the computer yesterday."
"The package was delivered by the mail carrier this morning.","The mail carrier delivered the package this morning."
"The lecture was given by Professor Smith.","Professor Smith gave the lecture."
"The song was performed by the choir at the concert.","The choir performed the song at the concert."
"The medicine was prescribed by the doctor for my illness.","The doctor prescribed the medicine for my illness."
"The plants were watered by Jane every day.","Jane watered the plants every day."
"The book was written by the author in six months.","The author wrote the book in six months."
"The house was painted by the workers last week.","The workers painted the house last week."
"The proposal was submitted by the company to the client.","The company submitted the proposal to the client."
"The game was won by the home team in overtime.","The home team won the game in overtime."
"The project was managed by Tom from start to finish.","Tom managed the project from start to finish."
"The letter was sent by the secretary to the board members.","The secretary sent the letter to the board members."
"The coffee was made by Kevin for the morning meeting.","Kevin made the coffee for the morning meeting."
"The play was directed by Susan at the community theater.","Susan directed the play at the community theater."
"The clothes were washed by Mary in the laundry room.","Mary washed the clothes in the laundry room."
"The email was forwarded by Jim to his colleagues.","Jim forwarded the email to his colleagues."
"The invitation was accepted by Lisa to attend the event.","Lisa accepted the invitation to attend the event."
"The flowers were arranged by the florist for the wedding.","The florist arranged the flowers for the wedding."
"The contract was signed by the CEO after reviewing the terms.","The CEO signed the contract after reviewing the terms."
"The groceries were bought by Mark at the store.","Mark bought the groceries at the store."
"The cake was baked by my grandmother for my birthday.","My grandmother baked the cake for my birthday."
"The dishes were washed by Peter after dinner.","Peter washed the dishes after dinner."
"The gift was wrapped by Sarah for the party.","Sarah wrapped the gift for the party."
"The window was broken by the kids playing outside.","The kids playing outside broke the window."
"The photos were taken by the photographer at the event.","The photographer took the photos at the event."
"The presentation was prepared by the team for the meeting.","The team prepared the presentation for the meeting."
"The tickets were bought by Jane for the concert.","Jane bought the tickets for the concert."
"The speech was delivered by the politician at the rally.","The politician delivered the speech at the rally."
"The research was conducted by the scientists in the lab.","The scientists conducted the research in the lab."
"The dog was walked by Tim in the park.","Tim walked the dog in the park."
"The article was published by the magazine in the latest issue.","The magazine published the article in the latest issue."
"The meal was cooked by the chef for the guests.","The chef cooked the meal for the guests."
"The table was set by Emily for dinner.","Emily set the table for dinner."
"The music was composed by the artist for the film.","The artist composed the music for the film."
"The documents were printed by the assistant for the meeting.","The assistant printed the documents for the meeting."
"The room was cleaned by the staff before the event.","The staff cleaned the room before the event."
"The computer program was developed by the engineers.","The engineers developed the computer program."
"The garden was tended by the gardener throughout the summer.","The gardener tended the garden throughout the summer."
"The children were picked up by their parents after school.","The parents picked up their children after school."
"The furniture was moved by the movers into the new house.","The movers moved the furniture into the new house."
"The bicycle was fixed by the mechanic at the shop.","The mechanic fixed the bicycle at the shop."
"The cake was decorated by the baker with icing and flowers.","The baker decorated the cake with icing and flowers."
"The plants were pruned by the gardener to encourage growth.","The gardener pruned the plants to encourage growth."
"The sculpture was created by the artist using clay and metal.","The artist created the sculpture using clay and metal."
"The meeting was organized by the manager to discuss the new project.","The manager organized the meeting to discuss the new project."
"Me and him went to the store yesterday.","He and I went to the store yesterday."
"The dog chased it's tail.","The dog chased its tail."
"The council members gathered to discuss about their community.","The council members gathered to discuss their community."
"The team is working on their project.","The team is working on its project."
"They're house is beautiful.","Their house is beautiful."
"The teacher told the students that they needs to study harder.","The teacher told the students that they need to study harder."
"She gave the books to John and I.","She gave the books to John and me."
"The company wants to ensure they're customers are satisfied.","The company wants to ensure their customers are satisfied."
"The doctor asked the patient to describe it's symptoms.","The doctor asked the patient to describe his or her symptoms."
"The cat looked at itself in the mirror.","The cat looked at itself in the mirror."
"The plants need water for they're survival.","The plants need water for their survival."
"Everyone must submit there own report by Friday.","Everyone must submit his or her own report by Friday."
"The boys went to the park and played soccer with them friends.","The boys went to the park and played soccer with their friends."
"Me and her went to the movies last night.","She and I went to the movies last night."
"The manager will discuss the issue with the employee and there supervisor.","The manager will discuss the issue with the employee and their supervisor."
"The teacher asked the students to submit they're assignments by tomorrow.","The teacher asked the students to submit their assignments by tomorrow."
"The birds fly to the south for it's warmer.","The birds fly to the south because it's warmer."
"The club will hold a meeting to discuss its future plans and there budget.","The club will hold a meeting to discuss its future plans and its budget."
"The mother told her children that they can play outside once they've finished them homework.","The mother told her children that they can play outside once they've finished their homework."
"The engineer explained the technical aspects of the project to the client and they're manager.","The engineer explained the technical aspects of the project to the client and their manager."
"The scientist presented his findings to they're colleagues.","The scientist presented his findings to their colleagues."
"The tourists took pictures of the beautiful scenery with them cameras.","The tourists took pictures of the beautiful scenery with their cameras."
"The children were excited for they're upcoming field trip.","The children were excited for their upcoming field trip."
"The athlete worked hard to improve them performance.","The athlete worked hard to improve his or her performance."
"The company's employees attended a workshop to improve they're skills.","The company's employees attended a workshop to improve their skills."
"The computer technician fixed the issue with the laptop and returned it to it's owner.","The computer technician fixed the issue with the laptop and returned it to its owner."
"The customer returned the product because them were not satisfied with its quality.","The customer returned the product because he or she was not satisfied with its quality."
"The chef prepared the dish and presented it to the customer with they're compliments.","The chef prepared the dish and presented it to the customer with their compliments."
"The students were asked to submit they're research papers by the end of the semester.","The students were asked to submit their research papers by the end of the semester."
"The driver parked the car in it's designated spot.","The driver parked the car in its designated spot."
"The newlyweds bought a house and decorated them together.","The newlyweds bought a house and decorated it together."
"The conference attendees enjoyed the presentations and discussed them with they're colleagues.","The conference attendees enjoyed the presentations and discussed them with their colleagues."
"The gardener watered the plants and took care of there needs.","The gardener watered the plants and took care of their needs."
"The family went on a vacation and shared them experiences on social media.","The family went on a vacation and shared their experiences on social media."
"The mechanic repaired the car and informed it's owner about the repairs.","The mechanic repaired the car and informed its owner about the repairs."
"The company was proud of it's achievements and shared them with the public.","The company was proud of its achievements and shared them with the public."
"The dog owner trained their dog to follow they're commands.","The dog owner trained his or her dog to follow his or her commands."
"The volunteers cleaned the park and made sure it's surroundings were litter-free.","The volunteers cleaned the park and made sure its surroundings were litter-free."
"The author signed copies of their book and handed them to they're fans.","The author signed copies of his or her book and handed them to his or her fans."
"The project manager assigned tasks to the team members based on their skills and there availability.","The project manager assigned tasks to the team members based on their skills and their availability."
"She served sandwiches on plates to her guests made of whole wheat.","She served sandwiches made of whole wheat on plates to her guests."
"The broken teacher's window should be fixed.","The teacher's broken window should be fixed."
"The car was parked by the man with a dent.","The car with a dent was parked by the man."
"The painting was admired by the visitors hanging on the wall.","The painting hanging on the wall was admired by the visitors."
"The teacher noticed the students laughing in the hallway.","The teacher noticed the students in the hallway laughing."
"The documentary focused on environmental issues narrated by a famous actor.","The documentary narrated by a famous actor focused on environmental issues."
"The kittens were discovered under the porch by the family covered in mud.","The kittens covered in mud were discovered by the family under the porch."
"Jennifer's book was criticized by the reviewers filled with errors.","Jennifer's book filled with errors was criticized by the reviewers."
"The computer was used by the programmer loaded with new software.","The computer loaded with new software was used by the programmer."
"The article was written by a talented writer exploring a controversial topic.","The article exploring a controversial topic was written by a talented writer."
"The baby was carried by the mother wrapped in a soft blanket.","The baby wrapped in a soft blanket was carried by the mother."
"I saw the dog running across the street wagging its tail.","I saw the dog wagging its tail running across the street."
"She was cleaning her room listening to music.","She was cleaning her room while listening to music."
"The soccer player was awarded the trophy for his outstanding performance filled with excitement.","The soccer player filled with excitement was awarded the trophy for his outstanding performance."
"The suitcase was found by the traveler filled with clothes.","The suitcase filled with clothes was found by the traveler."
"The research paper was submitted by the student containing several errors.","The research paper containing several errors was submitted by the student."
"The package was opened by the recipient containing a surprise gift.","The package containing a surprise gift was opened by the recipient."
"The cake was baked by the chef with a cherry on top.","The cake with a cherry on top was baked by the chef."
"The play was directed by a renowned director with an unusual twist.","The play with an unusual twist was directed by a renowned director."
"The flowers were planted by the gardener along the pathway blooming beautifully.","The flowers blooming beautifully were planted by the gardener along the pathway."
"The presentation was delivered by the speaker with great enthusiasm.","The presentation with great enthusiasm was delivered by the speaker."
"The article was written by a journalist on the front page about political scandals.","The article about political scandals was written by a journalist on the front page."
"The children were playing soccer in the park wearing uniforms.","The children wearing uniforms were playing soccer in the park."
"The package was delivered to the wrong address by the courier by mistake.","The package was delivered by the courier to the wrong address by mistake."
"The book was reviewed by the critic with a controversial opinion.","The book with a controversial opinion was reviewed by the critic."
"The meeting was attended by the team discussing the new project.","The meeting discussing the new project was attended by the team."
"The boy was scolded by the teacher for not doing his homework with tears in his eyes.","The boy with tears in his eyes was scolded by the teacher for not doing his homework."
"The tree was cut down by the workers blocking the road.","The tree blocking the road was cut down by the workers."
"The dress was worn by the actress at the awards ceremony with a long train.","The dress with a long train was worn by the actress at the awards ceremony."
"The concert was performed by the orchestra with great energy.","The concert with great energy was performed by the orchestra."
"The phone was found by the owner in the lost and found with a cracked screen.","The phone with a cracked screen was found by the owner in the lost and found."
"The meal was prepared by the chef using fresh ingredients.","The meal using fresh ingredients was prepared by the chef."
"The house was decorated by the designer with a modern touch.","The house with a modern touch was decorated by the designer."
"The exhibition was visited by the tourists featuring local artists.","The exhibition featuring local artists was visited by the tourists."
"The novel was written by the author set in medieval times.","The novel set in medieval times was written by the author."
"The car was driven by the mechanic for a test with a strange noise.","The car with a strange noise was driven by the mechanic for a test."
"The email was sent by the manager containing important updates.","The email containing important updates was sent by the manager."
"The lesson was taught by the instructor with a unique approach.","The lesson with a unique approach was taught by the instructor."
"The experiment was conducted by the scientist with great precision.","The experiment with great precision was conducted by the scientist."
"The report was presented by the analyst including recent trends.","The report including recent trends was presented by the analyst."
"The coffee was served by the barista with a beautiful design on top.","The coffee with a beautiful design on top was served by the barista."
"The interview was conducted by the journalist with a famous celebrity.","The interview with a famous celebrity was conducted by the journalist."
"He run more faster than me.","He runs faster than me."
"This is the most tallest building I've ever seen.","This is the tallest building I've ever seen."
"She thinks she's the most funniest person in the room.","She thinks she's the funniest person in the room."
"My car is more better than yours.","My car is better than yours."
"Her cake was more tastier than mine.","Her cake was tastier than mine."
"He was more colder than his brother.","He was colder than his brother."
"This book is most interesting than that one.","This book is more interesting than that one."
"She is most beautiful than her sister.","She is more beautiful than her sister."
"This computer is most faster than the old one.","This computer is faster than the old one."
"The new employee is most efficient than the previous one.","The new employee is more efficient than the previous one."
"The river is most longer than the stream.","The river is longer than the stream."
"The movie was most worse than I expected.","The movie was worse than I expected."
"This wine is most more expensive than the other one.","This wine is more expensive than the other one."
"The weather today is most hotter than yesterday.","The weather today is hotter than yesterday."
"She has the most longest hair I've ever seen.","She has the longest hair I've ever seen."
"His speech was most more compelling than hers.","His speech was more compelling than hers."
"This pizza place has the most best pizza in town.","This pizza place has the best pizza in town."
"The most earliest bird catches the worm.","The early bird catches the worm."
"This recipe is most simpler than the other one.","This recipe is simpler than the other one."
"The exam was most easier than I thought.","The exam was easier than I thought."
"That was the most hardest level of the game.","That was the hardest level of the game."
"He is the most laziest person I know.","He is the laziest person I know."
"This is the most latest news I've heard.","This is the latest news I've heard."
"The roller coaster was the most scariest I've ever been on.","The roller coaster was the scariest I've ever been on."
"He is the most strongest man in the competition.","He is the strongest man in the competition."
"This is the most happiest day of my life.","This is the happiest day of my life."
"The novel was most more engaging than the movie.","The novel was more engaging than the movie."
"She is the most youngest person in the group.","She is the youngest person in the group."
"This is the most farthest I've ever traveled.","This is the farthest I've ever traveled."
"The new software is most more user-friendly than the old one.","The new software is more user-friendly than the old one."
"The most quickest way to get there is by train.","The quickest way to get there is by train."
"He is the most oldest person in the family.","He is the oldest person in the family."
"This material is most more durable than the other one.","This material is more durable than the other one."
"This is the most hardest puzzle I've ever solved.","This is the hardest puzzle I've ever solved."
"He is the most more skillful player on the team.","He is the most skillful player on the team."
"The most shortest route is through the park.","The shortest route is through the park."
"This is the most more affordable option for us.","This is the more affordable option for us."
"The most richest person in the world lives here.","The richest person in the world lives here."
"She is the most more experienced candidate for the job.","She is the more experienced candidate for the job."
"The most easiest way to learn is by doing.","The easiest way to learn is by doing."
"The most highest mountain in the world is Mount Everest.","The highest mountain in the world is Mount Everest."
"This is the most more spacious room in the house.","This is the more spacious room in the house."
"The most deepest part of the ocean is the Mariana Trench.","The deepest part of the ocean is the Mariana Trench."
"He is the most more talented musician I know.","He is the more talented musician I know."
"The most narrowest street in the world is in Spain.","The narrowest street in the world is in Spain."
"The most more difficult decision I've made was to quit my job.","The more difficult decision I've made was to quit my job."
"The most brightest star in the sky is Sirius.","The brightest star in the sky is Sirius."
"The most most powerful superhero is Superman.","The most powerful superhero is Superman."
"This is the most more efficient way to complete the task.","This is the more efficient way to complete the task."
"Some of people like to play basketball.","Some people like to play basketball."
"Many of cars are electric nowadays.","Many cars are electric nowadays."
"Few of the students passed the exam.","Few students passed the exam."
"I bought all of the apples in the store.","I bought all the apples in the store."
"Some of children enjoy playing soccer.","Some children enjoy playing soccer."
"Many of the books on this shelf are written by famous authors.","Many books on this shelf are written by famous authors."
"Few of dogs are well-trained.","Few dogs are well-trained."
"All of the people in this room have smartphones.","All the people in this room have smartphones."
"Some of countries have strict visa requirements.","Some countries have strict visa requirements."
"Many of the plants in this garden are native to the region.","Many plants in this garden are native to the region."
"Few of scientists believe in the flat earth theory.","Few scientists believe in the flat earth theory."
"All of the cookies you baked are delicious.","All the cookies you baked are delicious."
"Some of movies released this year are worth watching.","Some movies released this year are worth watching."
"Many of the buildings in this city are skyscrapers.","Many buildings in this city are skyscrapers."
"Few of the ingredients in this dish are spicy.","Few ingredients in this dish are spicy."
"All of the computers in this lab are high-performance machines.","All the computers in this lab are high-performance machines."
"Some of the guests at the party were wearing costumes.","Some guests at the party were wearing costumes."
"Many of the software developers prefer using Linux.","Many software developers prefer using Linux."
"Few of the birds in this area are migratory.","Few birds in this area are migratory."
"All of the paintings in this gallery are modern art.","All the paintings in this gallery are modern art."
"Some of the flights to Europe have layovers.","Some flights to Europe have layovers."
"Many of the hotels in this city are fully booked during the summer.","Many hotels in this city are fully booked during the summer."
"Few of the employees in this company have worked here for over 20 years.","Few employees in this company have worked here for over 20 years."
"All of the courses offered at this university are accredited.","All the courses offered at this university are accredited."
"Some of the video games released in the past decade have become classics.","Some video games released in the past decade have become classics."
"Many of the songs on this album are catchy.","Many songs on this album are catchy."
"Few of the participants in the race finished within the time limit.","Few participants in the race finished within the time limit."
"All of the trees in this park are native species.","All the trees in this park are native species."
"Some of the dishes on this menu are vegetarian.","Some dishes on this menu are vegetarian."
"Many of the animals in this zoo are endangered.","Many animals in this zoo are endangered."
"Few of the politicians in this country are honest.","Few politicians in this country are honest."
"All of the students in this class are attentive.","All the students in this class are attentive."
"Some of the furniture in this store is made of high-quality wood.","Some furniture in this store is made of high-quality wood."
"Many of the exercises in this workout routine are challenging.","Many exercises in this workout routine are challenging."
"Few of the products in this store are made from sustainable materials.","Few products in this store are made from sustainable materials."
"All of the houses in this neighborhood are well-maintained.","All the houses in this neighborhood are well-maintained."
